Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Tricentenario;0.592307692;0.348659004;0.555555556;0.459770115;0.521072797;0.639846743;0.609195402;14.4;16.8;17.4;17;17.6;14.2;15.2;18;17.8;15.8;15.8;14.4;0.8;1.5;11.58333333;9.133333333;0.083333333;6.983333333;180;178;190;218;206;194.4;0.016666667;0;0.8;0.95;0;0.083333333;0;0;0.033333333;14.23333333;0;0;1.2;0;0.5;0.43;0.2;0.533333333;0.566666667;0.533333333;0.666666667;0.783333333;0.55;0.633333333;0;3
Trinidad;0.592307692;0.425287356;0.647509579;0.578544061;0.62835249;0.555555556;0.689655172;15.2;18.6;15.6;20.8;17.8;17.2;18.8;18.8;16.2;19.8;16;20;2.333333333;1.033333333;12.51666667;10.33333333;0.1;7.466666667;226;229;234;199;186;214.8;0.066666667;0;4.333333333;0.9;0;0;0;0;0;12.5;0;0;0.4;0;0.5;0.72;0.4;0.583333333;0.833333333;0.583333333;0.466666667;0.6;0.383333333;0.5;3;3
U.D. Atanasio Girardot;0.25;0.126436782;0.187739464;0.149425287;0.210727969;0.252873563;0.260536398;3.6;5.2;5.2;7;7.4;6.8;4.6;6.8;7.2;6.2;8.2;6.8;0.716666667;0.433333333;4.316666667;3.266666667;0.016666667;2.966666667;81;76;94;64;60;75;0.083333333;0.016666667;0.85;0.4;0;0;0.016666667;0;0;4.866666667;0;0;0.4;0;0;0.08;0.2;0.183333333;0.15;0.266666667;0.333333333;0.233333333;0.166666667;0.266666667;0;4
U.P.B.;0.073076923;0.026819923;0.099616858;0.053639847;0.076628352;0.061302682;0.099616858;1.4;2.8;1.8;2.4;1.6;1.8;2.2;2.8;2.6;1.8;2;2.4;0.1;0.116666667;1.616666667;0.783333333;0.016666667;1.333333333;14;22;20;44;28;25.6;0;0.066666667;0.316666667;0.216666667;0;0;0;0.016666667;0;1.516666667;0;0;0;0;0;0.1;0;0.083333333;0.083333333;0.066666667;0.066666667;0.016666667;0.133333333;0.05;0;4
Universidad De Antioquia;0.611538462;0.260536398;0.540229885;0.478927203;0.555555556;0.436781609;0.528735632;12.8;12.4;16.2;11.4;21.4;17.6;15.8;19;13.2;12.8;13.4;12;0.783333333;1.333333333;10.01666667;8.116666667;0.1;6.616666667;157;145;142;244;202;178;0.083333333;0.033333333;1;0.9;0;0.1;0.033333333;0;0.25;12.35;0;0;0;0;0.5;0.62;0.2;0.4;0.45;0.616666667;0.5;0.45;0.516666667;0.45;1;3
Universidad Nacional;1.161538462;0.578544061;1.022988506;1.099616858;1.057471264;0.988505747;1.172413793;27.8;30.4;27.8;33.8;32.2;32.6;29.2;32.4;30;30.8;28.6;33.8;1.5;2.05;23.11666667;15.68333333;0.2;14.9;409;415;414;337;272;369.4;0.116666667;0.016666667;2.6;1.216666667;0.033333333;0.316666667;0.166666667;0;0.65;25.46666667;0;0;0.6;0.75;0.25;1.04;0.4;1.1;1.083333333;0.9;1.016666667;1.233333333;1.3;0.816666667;2;3
Veinte De Julio;0.196153846;0.206896552;0.203065134;0.183908046;0.176245211;0.233716475;0.191570881;4.6;7.2;5.4;7;4.6;5.8;7;5.4;6;6.8;7.2;5.6;1.316666667;0.616666667;3.166666667;4.566666667;0.116666667;1.366666667;91;73;73;65;61;72.6;0.016666667;0;0.95;0.416666667;0;0;0;0;0;4.55;0;0;0.2;0;0.25;0.18;0.2;0.2;0.15;0.25;0.25;0.183333333;0.133333333;0.216666667;0;2
Versalles No. 1;0.280769231;0.337164751;0.252873563;0.287356322;0.268199234;0.275862069;0.260536398;9.8;7.8;7.4;9;8.4;8.6;10.2;8;8.6;8.8;8.4;7.4;2.133333333;1.1;3.683333333;5.9;0.05;2.583333333;111;116;103;103;79;102.4;0.033333333;0;1.083333333;0.8;0;0;0;0;0;6.566666667;0;0;0.2;0.25;0.5;0.3;1;0.266666667;0.333333333;0.2;0.266666667;0.35;0.216666667;0.366666667;0;2
Versalles No. 2;0.015384615;0.019157088;0.007662835;0.053639847;0.057471264;0.019157088;0.045977011;0.8;1.2;1.4;0.4;1;0.4;1.4;1.8;0.8;1.2;1;0;0.283333333;0.1;0.45;0.566666667;0;0.383333333;11;11;9;15;11;11.4;0.016666667;0;0.033333333;0.116666667;0;0;0;0;0;0.783333333;0;0;0.2;0;0;0;0;0.016666667;0.05;0.033333333;0.05;0.05;0.033333333;0.033333333;0;2
Via Las Palmas ;0.053846154;0.091954023;0.053639847;0.049808429;0.045977011;0.088122605;0.08045977;2.6;2.4;2.4;2.8;2.8;1;1.4;2;3.4;1.4;1;1;0.033333333;0.4;1.066666667;1.316666667;0.166666667;0.533333333;45;32;26;5;13;24.2;0;0;0.033333333;0.033333333;0;0;0;0;0;1.783333333;0;0;0;0;0;0.07;0;0.066666667;0.05;0.05;0.066666667;0.016666667;0.016666667;0.016666667;0;6
Villa Carlota;1.403846154;0.360153257;1.498084291;1.298850575;1.570881226;0.915708812;1.501915709;31.2;41.8;36.6;37.4;38.8;35.2;35;41;38.8;37.4;36;36.8;1.283333333;1.516666667;31.53333333;14.75;0.183333333;22.23333333;411;414;475;439;491;446;0.066666667;0.016666667;4.216666667;2.183333333;0.016666667;0.083333333;0.033333333;0;0.116666667;30.23333333;0;0.016666667;2;0;0.25;1.52;0.2;1.216666667;1.016666667;1.166666667;1.283333333;1.3;1.35;1.233333333;5;5
Villa Del Socorro;0.188461538;0.272030651;0.249042146;0.218390805;0.210727969;0.275862069;0.229885057;6;7.8;6.6;6;6.6;7.6;8.4;7.6;7.8;6.2;7.8;7.4;1.533333333;0.783333333;3.666666667;4.7;0.05;2.4;87;79;101;77;85;85.8;0.033333333;0;0.516666667;0.616666667;0;0;0;0;0;5.933333333;0;0;0.2;0.5;0;0.44;0.2;0.116666667;0.233333333;0.233333333;0.166666667;0.166666667;0.25;0.283333333;0;2
Villa Flora;0.434615385;0.398467433;0.413793103;0.463601533;0.402298851;0.521072797;0.509578544;14.2;14;16.2;12.2;15.4;15.8;14.6;10.6;13.2;13.2;11.4;13.2;0.75;1.883333333;8.35;8.65;0;5.016666667;156;179;153;156;176;164;0.033333333;0;1.933333333;1.483333333;0;0;0;0;0;10.21666667;0;0;0.8;0.25;0;0.32;1;0.483333333;0.516666667;0.516666667;0.466666667;0.533333333;0.416666667;0.433333333;1;2
Villa Guadalupe;0.196153846;0.195402299;0.237547893;0.206896552;0.164750958;0.218390805;0.172413793;4;4.8;5.8;7.6;7;4.2;5.6;7.2;7.6;7.2;6.2;5.4;1.583333333;0.783333333;2.566666667;4.5;0.05;1.5;78;69;60;75;81;72.6;0.033333333;0;0.7;0.583333333;0;0.016666667;0;0;0.016666667;4.65;0;0;0.2;0.25;0.5;0.22;0.2;0.216666667;0.183333333;0.166666667;0.233333333;0.133333333;0.35;0.2;0;2
Villa Hermosa;0.280769231;0.356321839;0.295019157;0.279693487;0.279693487;0.340996169;0.295019157;10.4;8.4;11;8.2;7.4;9.2;8.2;12;9.2;8.8;9.4;8.8;1.616666667;1.116666667;4.7;6.766666667;0.016666667;2.466666667;124;113;108;97;113;111;0;0.016666667;2.216666667;0.816666667;0;0;0;0;0;6.183333333;0;0;0;1;0;0.53;0.8;0.533333333;0.2;0.333333333;0.366666667;0.366666667;0.316666667;0.316666667;0;3
Villa Liliam;0.046153846;0.114942529;0.049808429;0.045977011;0.057471264;0.08045977;0.0651341;1.6;1.6;2.6;2.2;2.2;2.2;1.4;1.2;1;3;2.4;2.6;0.65;0.316666667;0.666666667;1.65;0;0.35;22;26;23;21;28;24;0.033333333;0;0.133333333;0.4;0;0;0;0;0;1.433333333;0;0;0;0;0;0.02;0.4;0.033333333;0.066666667;0.05;0.1;0.016666667;0.066666667;0.1;0;2
Villa Niza;0.088461538;0.061302682;0.088122605;0.126436782;0.084291188;0.122605364;0.095785441;2.2;2;3.2;3.6;2.2;1.2;3.8;5.2;2;2.4;3.6;3.4;0.6;0.383333333;1.416666667;1.966666667;0.033333333;0.9;38;35;24;39;38;34.8;0;0;0.25;0.25;0;0;0;0;0;2.366666667;0;0;0;0;0;0.21;0.2;0.05;0.083333333;0.116666667;0.116666667;0.05;0.1;0.066666667;0;2
Villa Nueva;1.734615385;0.881226054;1.724137931;1.655172414;1.823754789;1.471264368;1.858237548;35.6;41;49.2;46.6;55.4;47;56;54.8;52.4;51.8;45.2;46.6;6.666666667;3.3;33.7;23.11666667;0.316666667;25.03333333;602;638;552;568;548;581.6;0.216666667;0.05;10.88333333;2.066666667;0;0.033333333;0.416666667;0;0;34.45;0.016666667;0.016666667;1.6;0.75;0.5;1.94;0.6;1.866666667;1.766666667;1.366666667;1.533333333;1.516666667;1.566666667;1.9;15;4
Villa Turbay;0.007692308;0.034482759;0.045977011;0.003831418;0.022988506;0.034482759;0.01532567;0.2;0.6;0.8;0.8;0.8;0.4;1;0.2;1;1.6;0.6;0.6;0.133333333;0.183333333;0.25;0.583333333;0;0.133333333;10;10;11;4;8;8.6;0;0;0.033333333;0.05;0;0;0;0;0;0.633333333;0;0;0;0;0.25;0;0;0;0.016666667;0.05;0.033333333;0.033333333;0;0.016666667;0;1
Villatina;0.246153846;0.314176245;0.210727969;0.302681992;0.222222222;0.275862069;0.233716475;6.4;6;6.2;7.4;7.4;7.4;9.2;10.6;8.6;8.4;8.6;8;1.583333333;1.45;3.316666667;5.666666667;0.033333333;2.15;89;95;103;84;100;94.2;0.016666667;0.016666667;0.483333333;0.95;0;0;0;0;0;6.35;0;0;0.6;0;0.75;0.19;0.6;0.216666667;0.216666667;0.25;0.283333333;0.366666667;0.233333333;0.216666667;0;2
Volcana Guayabal;0;0;0.003831418;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0.016666667;0;0;0;0;0;0;1;0.2;0;0;0.016666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Yolombo;0.003846154;0.01532567;0.019157088;0.003831418;0.007662835;0.007662835;0.007662835;0.2;0.6;0;0.2;0.4;0.2;0.2;0.2;0.4;0.2;0.6;0.2;0.016666667;0.016666667;0.183333333;0.15;0;0.133333333;1;0;1;2;13;3.4;0;0;0;0.033333333;0;0;0;0;0;0.25;0;0;0;0;0;0.01;0;0.016666667;0;0.016666667;0.033333333;0;0;0;0;2
