Barrio;Miercoles prom ;Domingo Prome;Jueves Prom;Lunes Promedio;Martes Prome;Sabado Promedio;Viernes Prome;Promedio Ene;Promedio Feb ;Promedio Marz;Promedio Abril;Promedio Mayo;Promedio Junio;Promo Julio;Promedio Agosto;Promedio Sept;Promedio Oct;Promedio Nov;Promedio Dic;Atropello Mensual;Caida de Ocupante Mensual ;Choque Mensual ;Herido Mensual ;Muerto Mensual ;Solo Daños Mes ;2014;2015;2016;2017;2018;Prom_año;Ciclo Ruta Mes ;Glorieta Mes ;Interseccion Mes ;Lote Mensual ;Paso a nivel Mensual ;Paso elevado Mes;Paso inferior mes ;Ponton Mes ;Puente mes ;Tramo Via Me s;Tunel Mes ;Via Peat Mes ;Prom_D_madre;Prom_N_buena;Prom_Navidad;Prom_Feria_Flores;Prom_1_enero;Dia_5 Prom;Dia 10 Prom ;Dia 21 Prom ;Dia 23 Prom ;Dia 16 Prom ;Dia 17 Prom ;Dia 18 Prom ;semaforos ;estrato
Nuevos Conquistadores;0.038461538;0.076628352;0.072796935;0.038314176;0.038314176;0.057471264;0.053639847;1.8;2;1;1.4;1.8;1.4;2.2;1.8;0.6;2;1.4;2.2;0.45;0.266666667;0.583333333;1.2;0.016666667;0.416666667;22;25;24;13;14;19.6;0;0;0.083333333;0.183333333;0;0;0;0;0;1.35;0;0;0;0.25;0;0.11;0.4;0.05;0.016666667;0.033333333;0;0.066666667;0;0.1;0;1
Ocho De Marzo;0.026923077;0.042145594;0.026819923;0.01532567;0.019157088;0.026819923;0.057471264;0.6;1;1.6;0.8;1;0.4;1.2;1.8;1;0.4;0.2;1.2;0.166666667;0.033333333;0.566666667;0.6;0.033333333;0.3;10;13;9;11;13;11.2;0;0;0.066666667;0.066666667;0;0;0;0;0;0.766666667;0;0;0;0;0;0.06;0;0.033333333;0.016666667;0.033333333;0.016666667;0.033333333;0;0.033333333;0;1
Olaya Herrera;0.080769231;0.107279693;0.111111111;0.111111111;0.049808429;0.126436782;0.118773946;2.2;1.6;3.4;4.2;2.6;2.6;3.8;3.4;2.4;3.4;3.6;3.6;0.716666667;0.45;1.3;2.316666667;0.016666667;0.733333333;30;32;27;48;47;36.8;0;0.016666667;0.133333333;0.533333333;0;0;0;0;0.016666667;2.35;0;0;0.4;0.25;0;0.13;0;0.083333333;0.1;0.083333333;0.05;0.1;0.05;0.083333333;0;1
Oleoducto;0.338461538;0.180076628;0.210727969;0.229885057;0.275862069;0.348659004;0.252873563;7;6;6;9;6.8;7;6.6;9;11;10.4;8.8;8.2;0.4;0.6;6;4.85;0.116666667;3.016666667;60;77;46;129;167;95.8;0.016666667;0;0.283333333;0.383333333;0;0.183333333;0;0;0.2;6.816666667;0;0;0;0.5;0;0.34;0;0.2;0.283333333;0.183333333;0.35;0.283333333;0.35;0.266666667;0;3
Oriente;0.05;0.08045977;0.038314176;0.049808429;0.042145594;0.049808429;0.034482759;1.6;1.2;2.4;1.4;1.6;1.2;2.2;1.4;0.8;0.8;1.6;1.8;0.5;0.2;0.55;1.2;0.066666667;0.233333333;16;16;21;15;22;18;0;0;0.1;0.283333333;0;0;0;0;0;1.066666667;0;0;0;0;0.5;0.09;0;0;0.066666667;0.066666667;0.033333333;0.066666667;0.083333333;0.033333333;0;2
Pablo Vi;0.046153846;0.08045977;0.049808429;0.057471264;0.026819923;0.045977011;0.045977011;1.4;1.6;1.6;2;2;1.2;1.2;0.6;1.4;1;2.2;2.2;0.5;0.1;0.733333333;1;0.033333333;0.5;19;22;20;19;12;18.4;0.016666667;0;0.1;0.066666667;0;0;0;0.016666667;0;1.3;0;0;0.2;0.25;0;0.01;0;0;0.083333333;0.033333333;0.05;0.066666667;0.05;0.016666667;0;2
Pajarito;0.061538462;0.068965517;0.045977011;0.0651341;0.053639847;0.034482759;0.0651341;1.2;2.4;2.2;1;1.4;1.6;1.6;1.6;2;1.4;2.2;2;0.15;0.35;0.733333333;1.283333333;0;0.433333333;8;16;21;25;33;20.6;0;0;0.2;0.333333333;0;0;0;0;0;1.183333333;0;0;0;0;0;0.01;0;0.033333333;0.05;0.083333333;0.033333333;0.016666667;0.05;0.05;0;3
Palenque;0.223076923;0.222222222;0.195402299;0.210727969;0.229885057;0.233716475;0.214559387;6.4;6.6;6.4;6.4;7.8;8;7.2;6.2;7.4;6.2;5.6;5.6;0.616666667;0.933333333;4.033333333;4.1;0.016666667;2.533333333;99;85;89;55;71;79.8;0.05;0;0.916666667;0.5;0.016666667;0;0;0;0.016666667;5.133333333;0;0;0;0;0.5;0.23;0.4;0.1;0.3;0.183333333;0.133333333;0.35;0.283333333;0.15;1;3
Palermo;0.196153846;0.134099617;0.222222222;0.180076628;0.229885057;0.214559387;0.195402299;5.6;5.8;5.6;5.4;4.6;6.4;6;5.4;6;5.6;6.4;8.8;0.966666667;0.583333333;3.483333333;3.85;0.05;2.066666667;43;53;65;88;109;71.6;0.016666667;0.45;0.6;0.333333333;0;0.066666667;0.016666667;0;0.15;4.283333333;0;0;0;0.5;0.25;0.18;0;0.2;0.316666667;0.183333333;0.216666667;0.116666667;0.15;0.233333333;10;3
Parque Juan Pablo Ii;0.319230769;0.245210728;0.360153257;0.348659004;0.513409962;0.363984674;0.563218391;9.8;12.6;11.4;11.6;10.4;11.8;13.2;13;13.4;14.6;10.4;9.4;0.65;0.85;8.45;6.983333333;0.15;4.666666667;125;110;165;158;150;141.6;0.016666667;0.483333333;1.65;0.9;0;0;0;0;0;8.616666667;0;0;0.6;0;0.25;0.41;0.2;0.466666667;0.466666667;0.5;0.416666667;0.366666667;0.283333333;0.566666667;4;4
